"initial_alias","converted_alias","name","description","namespace"
"OSTC","ENSG00000198856","OSTC","oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DYRK4","ENSG00000010219","DYRK4","dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DBNDD1","ENSG00000003249","DBNDD1","dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADO","ENSG00000181915","ADO","2-aminoethanethiol dioxygenase [Source:HGNC Symbol;Acc:HGNC:23506]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHX30","ENSG00000132153","DHX30","DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SUGT1","ENSG00000165416","SUGT1","SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A19","ENSG00000125454","SLC25A19","solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRXN1","ENSG00000271303","SRXN1","sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPS22","ENSG00000175110","MRPS22","mitochondrial ribosomal protein S22 [Source:HGNC Symbol;Acc:HGNC:14508]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE3C","ENSG00000009335","UBE3C","ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EZH2","ENSG00000106462","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDCL3","ENSG00000115539","PDCL3","phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSUN4","ENSG00000117481","NSUN4","NOP2/Sun RNA methyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:31802]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL38","ENSG00000172809","RPL38","ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FZD6","ENSG00000164930","FZD6","frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GFUS","ENSG00000104522","GFUS","GDP-L-fucose synthase [Source:HGNC Symbol;Acc:HGNC:12390]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EMD","ENSG00000102119","EMD","emerin [Source:HGNC Symbol;Acc:HGNC:3331]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANGPT2","ENSG00000091879","ANGPT2","angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DIO2","ENSG00000211448","DIO2","iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL19","ENSG00000108298","RPL19","ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL19P12","None","None","None",""
"HSD17B12","ENSG00000149084","HSD17B12","hydroxysteroid 17-beta dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:18646]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOTCH1","ENSG00000148400","NOTCH1","notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYO1B","ENSG00000128641","MYO1B","myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSTF2","ENSG00000101811","CSTF2","cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DARS1","ENSG00000115866","DARS1","aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLIRP","ENSG00000119705","SLIRP","SRA stem-loop interacting RNA binding protein [Source:HGNC Symbol;Acc:HGNC:20495]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNHG29","ENSG00000175061","SNHG29","small nucleolar RNA host gene 29 [Source:HGNC Symbol;Acc:HGNC:28619]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"PPM1G","ENSG00000115241","PPM1G","protein phosphatase, Mg2+/Mn2+ dependent 1G [Source:HGNC Symbol;Acc:HGNC:9278]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CWC15","ENSG00000150316","CWC15","CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PUM1","ENSG00000134644","PUM1","pumilio RNA binding family member 1 [Source:HGNC Symbol;Acc:HGNC:14957]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAP1GDS1","ENSG00000138698","RAP1GDS1","Rap1 GTPase-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP27B1","ENSG00000111012","CYP27B1","cytochrome P450 family 27 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2606]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COLGALT1","ENSG00000130309","COLGALT1","collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1ORF53","ENSG00000203724","C1orf53","chromosome 1 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:30003]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ELP2","ENSG00000134759","ELP2","elongator acetyltransferase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:18248]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMARCA4","ENSG00000127616","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HPDL","ENSG00000186603","HPDL","4-hydroxyphenylpyruvate dioxygenase like [Source:HGNC Symbol;Acc:HGNC:28242]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD44","ENSG00000026508","CD44","CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CMTM7","ENSG00000153551","CMTM7","CKLF like MARVEL transmembrane domain containing 7 [Source:HGNC Symbol;Acc:HGNC:19178]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAMBPL1","ENSG00000138134","STAMBPL1","STAM binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:24105]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARFGEF2","ENSG00000124198","ARFGEF2","ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTREX","ENSG00000039123","MTREX","Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"E2F8","ENSG00000129173","E2F8","E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARID3A","ENSG00000116017","ARID3A","AT-rich interaction domain 3A [Source:HGNC Symbol;Acc:HGNC:3031]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS2","ENSG00000124608","AARS2","alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMA16","ENSG00000198498","TMA16","translation machinery associated 16 homolog [Source:HGNC Symbol;Acc:HGNC:25638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERBP1","ENSG00000142864","SERBP1","SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MLEC","ENSG00000110917","MLEC","malectin [Source:HGNC Symbol;Acc:HGNC:28973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APMAP","ENSG00000101474","APMAP","adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM208","ENSG00000168701","TMEM208","transmembrane protein 208 [Source:HGNC Symbol;Acc:HGNC:25015]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAAF1","ENSG00000175575","PAAF1","proteasomal ATPase associated factor 1 [Source:HGNC Symbol;Acc:HGNC:25687]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WRAP73","ENSG00000116213","WRAP73","WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACSL4","ENSG00000068366","ACSL4","acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BET1","ENSG00000105829","BET1","Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CARHSP1","ENSG00000153048","CARHSP1","calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C4ORF46","ENSG00000205208","C4orf46","chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF4","ENSG00000160917","CPSF4","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AAR2","ENSG00000131043","AAR2","AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMED2","ENSG00000086598","TMED2","transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTAP","ENSG00000099810","MTAP","methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:HGNC:7413]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MASTL","ENSG00000120539","MASTL","microtubule associated serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:19042]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCC1","ENSG00000103222","ABCC1","ATP binding cassette subfamily C member 1 (ABCC1 blood group) [Source:HGNC Symbol;Acc:HGNC:51]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RUNX1","ENSG00000159216","RUNX1","RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CALU","ENSG00000128595","CALU","calumenin [Source:HGNC Symbol;Acc:HGNC:1458]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C2ORF49","ENSG00000135974","C2orf49","chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28772]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MLST8","ENSG00000167965","MLST8","MTOR associated protein, LST8 homolog [Source:HGNC Symbol;Acc:HGNC:24825]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USPL1","ENSG00000132952","USPL1","ubiquitin specific peptidase like 1 [Source:HGNC Symbol;Acc:HGNC:20294]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DPM2","ENSG00000136908","DPM2","dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:HGNC Symbol;Acc:HGNC:3006]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAP1L4","ENSG00000205531","NAP1L4","nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHERP","ENSG00000085872","CHERP","calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DUSP18","ENSG00000167065","DUSP18","dual specificity phosphatase 18 [Source:HGNC Symbol;Acc:HGNC:18484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIG3","ENSG00000005156","LIG3","DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSUN5","ENSG00000130305","NSUN5","NOP2/Sun RNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:16385]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NEIL3","ENSG00000109674","NEIL3","nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR2F","ENSG00000100142","POLR2F","RNA polymerase II, I and III subunit F [Source:HGNC Symbol;Acc:HGNC:9193]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC5","ENSG00000089053","ANAPC5","anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALG9","ENSG00000086848","ALG9","ALG9 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:15672]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KHDC4","ENSG00000132680","KHDC4","KH domain containing 4, pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:29145]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANP32B","ENSG00000136938","ANP32B","acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC52A2","ENSG00000185803","SLC52A2","solute carrier family 52 member 2 [Source:HGNC Symbol;Acc:HGNC:30224]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"API5","ENSG00000166181","API5","apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB3IP","ENSG00000127328","RAB3IP","RAB3A interacting protein [Source:HGNC Symbol;Acc:HGNC:16508]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UTP3","ENSG00000132467","UTP3","UTP3 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24477]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EEF1B2","ENSG00000114942","EEF1B2","eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPA14","ENSG00000187522","HSPA14","heat shock protein family A (Hsp70) member 14 [Source:HGNC Symbol;Acc:HGNC:29526]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEM1","ENSG00000127922","SEM1","SEM1 26S proteasome subunit [Source:HGNC Symbol;Acc:HGNC:10845]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMBS","ENSG00000256269","HMBS","hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MFSD12","ENSG00000161091","MFSD12","major facilitator superfamily domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28299]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNRNP25","ENSG00000161981","SNRNP25","small nuclear ribonucleoprotein U11/U12 subunit 25 [Source:HGNC Symbol;Acc:HGNC:14161]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDAH1","ENSG00000153904","DDAH1","dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCNN4","ENSG00000104783","KCNN4","potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZMIZ2","ENSG00000122515","ZMIZ2","zinc finger MIZ-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22229]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC27A5","ENSG00000083807","SLC27A5","solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FKBP4","ENSG00000004478","FKBP4","FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FKBP4","ENSG00000204315","FKBPL","FKBP prolyl isomerase like [Source:HGNC Symbol;Acc:HGNC:13949]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"G6PC3","ENSG00000141349","G6PC3","glucose-6-phosphatase catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:24861]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MPHOSPH6","ENSG00000135698","MPHOSPH6","M-phase phosphoprotein 6 [Source:HGNC Symbol;Acc:HGNC:7214]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SP5","ENSG00000204335","SP5","Sp5 transcription factor [Source:HGNC Symbol;Acc:HGNC:14529]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF703","ENSG00000183779","ZNF703","zinc finger protein 703 [Source:HGNC Symbol;Acc:HGNC:25883]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS20","ENSG00000008988","RPS20","ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCCC1","ENSG00000078070","MCCC1","methylcrotonyl-CoA carboxylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:6936]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL13","ENSG00000167526","RPL13","ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDH5A1","ENSG00000112294","ALDH5A1","aldehyde dehydrogenase 5 family member A1 [Source:HGNC Symbol;Acc:HGNC:408]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OGFOD1","ENSG00000087263","OGFOD1","2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AJUBA","ENSG00000129474","AJUBA","ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS12","ENSG00000112306","RPS12","ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRP11","ENSG00000120256","LRP11","LDL receptor related protein 11 [Source:HGNC Symbol;Acc:HGNC:16936]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC5L","ENSG00000096401","CDC5L","cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAF2","ENSG00000064313","TAF2","TATA-box binding protein associated factor 2 [Source:HGNC Symbol;Acc:HGNC:11536]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP135","ENSG00000174799","CEP135","centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAPRE1","ENSG00000101367","MAPRE1","microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPP25","ENSG00000178718","RPP25","ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDH7A1","ENSG00000164904","ALDH7A1","aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBBP7","ENSG00000102054","RBBP7","RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC3A2","ENSG00000168003","SLC3A2","solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRMT6","ENSG00000198890","PRMT6","protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD51C","ENSG00000108384","RAD51C","RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUP54","ENSG00000138750","NUP54","nucleoporin 54 [Source:HGNC Symbol;Acc:HGNC:17359]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSS","ENSG00000100983","GSS","glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NMU","ENSG00000109255","NMU","neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSI2","ENSG00000153944","MSI2","musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DRAP1","ENSG00000175550","DRAP1","DR1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:3019]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KMT5C","ENSG00000133247","KMT5C","lysine methyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:28405]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1ORF174","ENSG00000198912","C1orf174","chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTK2","ENSG00000169398","PTK2","protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTMA","ENSG00000187514","PTMA","prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SARNP","ENSG00000205323","SARNP","SAP domain containing ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:24432]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WRNIP1","ENSG00000124535","WRNIP1","WRN helicase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPLP0","ENSG00000089157","RPLP0","ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RCCD1","ENSG00000166965","RCCD1","RCC1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30457]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTBP","ENSG00000172167","MTBP","MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRRM1","ENSG00000133226","SRRM1","serine and arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNHG32","ENSG00000204387","SNHG32","small nucleolar RNA host gene 32 [Source:HGNC Symbol;Acc:HGNC:19078]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMED1","ENSG00000099203","TMED1","transmembrane p24 trafficking protein 1 [Source:HGNC Symbol;Acc:HGNC:17291]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"S100P","ENSG00000163993","S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
